10000000 10000
1809859 9303816 186426
4710375 5915429 48045
472495 5422539 13115
289588 7893582 231335
3552574 7740705 433062
1514578 8472326 252184
4650453 9546124 291940
3167902 8778577 315236
2979912 6410821 176750
3560321 9069820 68028
1507994 8359140 458707
1425010 7220127 111175
4640988 9502946 36683
423116 5186704 453599
372814 9559166 234859
4257918 7527702 137548
1044409 7670842 443551
1417088 5920421 191464
3622442 7199860 455478
1688602 8491775 472091
33398 6341893 403703
3668396 6267878 156282
3811321 9538431 270649
374273 8444822 466577
554746 8021991 443768
374739 6028193 233488
4954524 6883459 337390
1871831 7326959 463091
3659281 7280279 222495
2442870 8790138 2850
4569903 5397308 387289
3103232 6010749 346966
3489250 8525205 220233
1922052 8236674 95548
2046034 8178513 337529
867489 8656373 375478
1408645 6297998 158809
1501097 6600814 291390
1316298 8294908 260008
2340734 5362008 63705
1744313 9463446 158241
3924601 8602795 76125
4227663 6696091 452134
1275961 8411862 378343
2779131 8214986 107936
1980544 5757654 37948
1608807 9343262 357238
2908075 9633750 90865
2393978 5458760 191122
2166320 6765393 405743
2408632 7064597 32724
1237034 8797274 279746
2658928 8552084 142830
1126189 7550969 356566
2725412 7507550 20453
440414 9321096 217551
2719635 6025617 226801
96704 7532861 445497
3307732 7578032 353782
11720 7036812 47167
33329 9314273 394816
1924958 8174865 289517
4752288 8191183 300521
2634073 6235298 118622
4934433 9254499 403955
1821597 7988424 474058
743693 5598420 217618
4078387 8011576 496204
1796317 9816143 461399
1987451 5142472 284271
2403134 8262944 243463
4780552 5556537 74533
1607989 9214455 45970
4130131 9845470 318588
2649198 7556069 490653
1079124 5219244 485365
427495 5879013 49617
1427941 9203577 435155
4129058 6661850 23608
1757888 9327619 277923
758611 6790036 26951
3269768 9915965 300468
4546340 7619841 49729
2748893 9441593 199871
3406802 7690325 349045
1803575 6657781 427098
4374962 9057374 58531
4186498 7478427 86801
765358 8635912 304207
645949 9721331 50238
721215 9108863 44313
114252 6655280 348711
929460 5218748 121061
4663814 6574204 424143
380184 9366955 451303
3471224 8381371 207266
1292269 7256237 21479
3076684 5175972 83859
778030 5753712 118032
804967 6236517 465574
4463988 9080095 417001
3052131 5104769 299590
965179 5435541 34735
3649654 7791297 346021
4339626 9773220 113551
1792490 8387458 116693
984518 8376480 313446
4346111 8532720 181903
3144333 5425135 12748
2522774 6970535 345375
2369674 6942605 215164
1727481 7361387 268864
4342254 6222363 404107
2066021 6334932 238321
239868 8861653 94795
254960 7176871 103469
1071689 9364357 321111
769060 9824071 185347
3025330 8494686 232127
3191529 6978587 50389
1156535 6933577 420734
1952805 7241712 156443
3393895 7664204 386083
1733598 5905125 145928
2826887 6612132 5816
1380937 9402536 267492
3426275 7666092 294844
3264537 9026004 239935
2137971 6223663 476430
4715182 5828801 274451
4173184 7793666 271393
3614520 7074183 129568
1173430 6409596 89662
3441597 7284229 3072
342671 8098294 376265
1123653 7486459 300148
60227 5780312 112227
1815451 5056195 195973
1975010 8762087 103788
3387063 7600043 253039
64472 7888356 118235
680241 5475275 246045
690219 8166036 24910
4858769 6726360 249443
927353 8046488 297769
2753570 9753858 496163
2254026 9040235 220925
4621086 9517936 201673
2915776 7781534 205569
3127122 5564761 326956
1936557 9201208 263620
4560847 9269331 434997
1220570 5756367 292362
3800789 9297503 491979
1404761 8596532 299903
3857466 9341818 18910
3089301 8629973 59526
13507 5809727 413769
3420941 5863536 281399
387256 5156345 301871
1885661 7677734 119093
2328926 6768908 416102
4000270 5207396 325327
21858 6151083 467317
190606 6605601 113857
2408869 5480000 484312
1286405 5937568 451364
1262256 5831093 170637
4477163 8106063 315963
3163777 9028748 86790
2689549 8346390 262939
1499191 6836587 450193
3229749 6486528 1802
2986514 8905617 57928
868754 5365451 311291
2316486 5629527 371624
2450014 6933639 229677
945629 7714868 369413
1761435 5461024 27715
3582756 5977313 321071
3588836 5914844 121503
3487963 8102040 31186
2522801 9613822 317711
3042322 7767631 23074
1026455 6904000 360072
525998 6832107 292319
3961555 6139579 116860
954297 9035205 184970
3906636 9807994 431951
836335 5097337 102658
2771025 5597473 413072
781238 8076624 14392
1345742 7225705 364248
3199730 5150664 159300
3506549 9387591 458177
2884829 8916258 228776
2769610 5102429 133719
312031 7270698 7465
4114992 6508074 306324
962106 8100846 125583
1560582 7427170 270968
1783179 6850484 44595
409291 5175903 262299
3686460 7365075 407022
4717503 7343495 374482
709798 6128124 312073
4051022 8398767 118385
3242869 7764075 166890
4642598 7426884 326319
1242007 9248309 300026
2900946 6361609 229148
3435398 7604858 449792
3638206 8798268 386332
4527153 6095024 98728
4003182 7541979 425095
4555808 5186238 477853
1923996 9313259 99452
3394375 6186168 387113
1360834 9753090 362721
821741 8909400 212820
3770691 5835682 187468
1478050 8316561 478095
4842668 9779305 33215
4477462 8905948 351440
2212321 8143029 453658
799003 8341461 236879
710733 9096630 154994
2041511 6915715 216529
868530 8369535 319119
163660 9548147 328551
3704959 6661671 136110
2704341 9660594 169691
3389752 6519492 438238
3213033 6003725 435362
2738142 7505219 428384
1603304 5102959 308562
4733661 7116668 171120
2320371 9468086 173918
4241272 6926901 205649
1803836 8575208 492073
4011886 8856632 124278
2080212 8391502 49877
3021914 7530427 269732
1740457 6365287 22177
2867197 8533414 136499
2150286 5690626 291200
1055232 9891716 457489
2131211 5594590 47735
4688346 5120375 318635
888022 8360620 449792
771360 8602784 269509
4659364 6172883 319709
461238 7308392 227539
891782 7136075 402911
3902556 8636633 155392
3932582 5315121 285522
3115485 6101670 366974
3312119 9702440 73948
4835403 6443046 152273
1331862 7345331 485397
1917718 8913555 352938
147061 8634254 244140
4655211 6970440 204824
4744467 5007414 276796
1266338 8373933 113709
3646803 9153964 121764
4212398 6394869 352801
4343548 7751841 267307
4768342 6288855 480296
468967 8710481 270140
3385957 5958969 20450
3939640 6208827 327592
1626077 7542711 220334
949401 5073419 269302
1301397 9668965 348472
1058263 6107218 367443
3185430 6696263 218041
4682269 8135077 136037
291741 9008295 131851
3728927 9943500 130906
1429006 8927856 42674
585735 6927684 209425
2547913 6555585 387427
583721 8170452 341937
3812643 7027865 174114
4060037 6559014 39551
2089086 9270749 197486
1357042 7539818 69993
1433278 6211015 487265
4420464 9060991 442005
4313290 8198277 188921
3657207 5583823 315103
2746035 9796772 31427
774852 9092856 262116
110416 6484408 117040
398720 8966740 453117
4518015 5868394 32035
481463 6414860 192743
1082581 5751264 35867
2699461 9732679 428966
1937765 7971041 100725
4186541 6370122 450896
4863666 5042857 292894
1342710 8108673 112977
2669102 5610765 441779
3431569 8912618 148394
2541983 8906291 173268
4386141 6202966 477697
4410948 7051692 65099
989896 6381589 291010
1359136 6447216 259631
3763431 7125474 168915
433395 5531683 151180
4223367 6972220 76552
961431 5264913 90776
1283401 9018037 337949
4156420 7965761 233300
4080589 6594012 450201
339566 6500962 161223
3343814 9018403 457856
1282750 5959396 373535
339186 9832724 265863
2705702 8045118 233831
2877845 5364467 431100
1862723 5719616 380662
4785382 7535596 474361
3291529 9034660 100656
749031 9821930 50474
14027 7293254 185177
3204606 8130923 399829
1521905 9401648 336841
61006 5347387 268174
3964039 7773545 197619
492593 5938204 155333
501627 7580526 237026
1317122 7572053 450194
2033438 8566020 56129
1938409 8721061 207357
1381652 9913041 464082
1849350 9607440 282519
2262725 9194977 435494
232124 7392204 384867
3115750 6314122 57947
383152 6159230 374766
1484357 7520475 206166
3480834 8907728 321872
3910183 5140860 7647
663951 8714323 8781
4593431 6796843 487845
4947144 8006633 1340
1575175 5565203 449637
4179053 7836729 475813
2489435 9641161 380916
4108202 8178980 102046
3961852 8413564 497398
4263932 5398074 294327
1488067 6540721 186943
798087 8310182 376121
640051 9783032 270870
3856661 8359698 202030
3674306 8605901 333486
3096087 9587779 470971
2323165 6796881 20360
548324 5322393 203248
3855417 7675706 9470
2318943 8649795 423303
1055772 8198839 266889
2061736 6841299 267766
165351 9577962 484179
213836 8370873 112283
1350353 6119596 494288
161887 6339036 478978
901779 7708721 150597
4635301 9330056 113396
3627979 5396066 61705
2055046 8856827 100920
2739905 7720677 96428
3872035 5841660 380630
585174 8412078 58324
3774279 5771977 280780
4450518 5960613 386545
2438948 9085705 305329
4909862 6885661 431814
1083956 7736454 46467
2421969 7609090 383963
449092 7343596 49254
2000742 6871341 469122
952440 6341761 408669
4653166 7475204 477978
2965908 8663075 77839
2648874 6790367 156892
1540438 5788906 363511
4055458 6176716 135356
1252844 5375058 277253
3966389 6222447 269587
3325841 9051351 40340
4167584 9504754 393538
4068285 5671331 229359
2863534 7761905 242546
109848 8207432 453447
4170379 6179846 482438
3747428 5101136 476335
2912367 7836234 304209
468118 5655598 72394
3414507 9833316 100207
1649478 8889762 269546
1342308 6296758 15828
1878774 8507259 89986
4902540 5413257 276373
3591613 7720743 488222
2890388 5164340 445660
2764405 9841479 254621
3156730 7583732 419626
4257594 7039014 190405
4419245 7653316 423974
4912361 5167813 80858
4486429 7008400 93226
1139687 7561642 242977
3850557 7468392 53909
4240869 5355226 463489
1771461 8196676 441430
2739807 5134951 376264
3697990 5569727 487221
1431118 7865232 239075
3506702 7464351 309576
4038675 6028926 184597
4390327 5319238 3362
801735 6516848 262519
1889126 7230379 87752
3457539 6925604 119155
576320 6032181 497968
675326 9517302 114905
4614578 6696597 18373
4268958 7310823 471502
2353797 7634619 496204
4256793 6559654 101609
3010135 6696703 382726
1858495 7209176 263808
185531 7939550 191432
1657289 9689092 91844
4430236 9109994 89544
1897997 9189452 257117
2696280 7680698 163164
2973873 9484905 178762
1917941 6041099 343082
3584566 8962886 380547
909548 5990108 234769
2020346 7055353 150516
4786019 5982321 12267
2615696 8514296 63242
2379989 7204995 314336
4643711 9876985 415193
2386304 7972887 78461
2837717 9900974 162796
4878680 5265403 459679
1604632 7053253 198821
3469279 5861269 498970
4836673 9824339 47481
1153555 7669790 382308
3981070 9020071 191421
1475929 7855334 141948
1872914 6721110 330978
233367 8414897 86155
3367010 5602123 428794
4727979 5986077 40050
394405 9132717 302984
3560347 5682207 223546
1035202 6289239 31497
605379 7232562 204439
2826352 5584195 58089
4527059 5917661 385004
1354705 9268640 398756
2172769 5343851 130372
640424 7005492 359790
4719847 5613218 444019
2144473 6762879 201720
2067747 5963248 283085
1725561 7539261 374395
1789063 8301002 379039
2941720 8690971 390945
4512185 7603537 469571
4302331 5610940 104451
4885520 8877796 9612
4255719 7875216 465663
2924242 5659890 218336
1802320 6998705 364385
2900205 8065217 443813
2441347 7920770 343851
493785 7924108 497048
3244529 7928734 36240
4921559 8027299 473870
624680 9179330 579
4889727 7321834 105382
1523206 9908345 66913
1358049 7497968 276896
210868 9532486 245057
2817915 9927164 295891
4132783 7507257 424316
957940 6206472 49227
1112301 7609735 274137
1819866 5871436 230709
4325166 5428480 382616
4513200 8867726 42857
2266682 7152894 326311
1183336 8905303 217867
3795179 6111917 140716
477290 6670412 147145
2445749 6157827 337326
2348418 9777473 182942
3414552 5202953 417483
1490891 5954685 241821
443173 9440010 7683
827330 5359529 11390
1192189 8067859 424244
4845834 6669614 355178
3608463 5130500 78353
153038 5393699 303006
1816279 5643250 79918
3281359 5327877 346481
3935732 5166039 4350
4430918 8621387 350198
2235298 6918970 59147
4895467 9587270 240028
2635715 8457076 17263
2018495 8311805 348030
3446837 8862730 315136
3793739 9797844 117914
3695961 6175426 13480
214446 5421320 352982
4341438 9124471 16434
2323841 7561075 145042
4896608 7923337 11153
2372116 6968107 178724
4998435 5241144 112752
3368984 9532080 84861
2486030 7046395 448891
2923278 6514290 192249
79895 8519893 343627
1494645 6520607 321813
2984104 9350853 183609
1621201 6626115 82305
539113 5035651 268728
1719385 5319528 59250
4173247 7415350 85770
2459583 5423163 75756
404812 6790867 147693
3331210 5677491 492573
1666384 6722689 272231
1288091 5879083 338032
2943565 6435147 491484
4533977 6840249 37924
3823168 5546725 408727
4835620 5175926 84018
2399641 5088733 68344
758406 5846064 487540
678970 7520693 119477
713797 9949265 372652
3021552 6113533 29099
3291208 9710619 72363
2864877 8832378 235426
1489522 8319710 177296
1193458 9464149 372601
1028657 7568437 255412
4246638 9243644 26164
4015895 6867629 442259
1004172 5431324 287227
3953015 6388480 268150
3500718 5828008 451843
2721074 9577113 432590
2356295 9048718 156259
2796823 7604213 387949
4341152 5122899 444212
4794121 7337604 116006
1242934 7571964 103728
995418 5865554 329058
543795 7269222 128364
4329342 7181560 156532
1830018 6737291 332245
742786 9066500 110238
2883311 9798747 29372
1343814 5238434 120008
741979 9255875 144980
1782598 7207736 202113
4419127 5711659 280011
3151040 6228852 183918
2265094 5313413 307162
1034689 7650442 325720
4889123 7350931 462444
1905834 9559070 178651
3332998 7530023 143550
3944562 7898128 175540
3943168 5652340 42117
2518454 8774897 209833
4764016 6932771 41410
3751589 5998540 162431
3873965 9493279 456160
354692 6204312 1831
2408471 8988595 485550
1164087 8502709 181746
4326620 5989882 317498
939057 9750333 94453
2089881 9918785 253869
633151 5932264 215401
2013162 9636804 352495
1755861 9383165 344275
2525516 8484546 490765
878352 8978937 169759
4790563 7151293 28870
3606034 6032527 407809
3383632 9482730 490495
3228515 8692440 125342
1591775 5206314 139494
3691023 8842880 263786
2146363 6975106 214385
2228059 8785450 137942
1867258 7491517 86045
1318156 5043787 327683
2586723 9862558 323788
2578537 6765741 241078
4854268 5440985 26192
997848 8109537 67191
149716 7004211 268661
4303574 9526799 75680
2795341 9782908 177708
2340774 9718332 103085
3023766 6143886 334412
2148775 9880533 473183
2825051 6716478 306288
4906949 7064808 117130
1810337 5378919 296611
1188963 7010539 295163
2042835 7645054 222909
558327 5069528 382617
3469864 7201819 499845
3253113 6252948 353941
4132608 6804324 38692
555296 8355305 112178
800328 6299264 364941
573125 6559607 167477
4631820 9175113 443314
4653288 8841406 462911
4322132 9788315 56071
4186042 5867980 112488
4978266 5424827 3395
4510628 7307456 186242
290823 6744758 374222
772514 6734123 186063
177605 8081574 312328
3354741 9550329 419354
1343500 7101781 412330
3297289 8657144 263098
4154431 9255573 29310
4950972 7901013 56589
485685 5348622 259884
2967616 5051381 25403
2308433 6559902 463604
3026797 9581053 463688
1073087 6447552 213297
2001157 9665707 284831
1551474 9474916 52416
904 7578200 309770
4252102 6402916 70360
4304264 5666814 37375
2371599 5841022 316904
2351790 5693287 394536
4013778 8981320 295560
4058193 7841428 313084
3167712 9506238 330161
3127256 8324484 223313
685830 8307427 390763
1419526 5810090 189232
4125481 8321301 304301
2449067 8929535 440954
1436265 5936330 480360
2496594 7148924 200137
2865821 9719002 282029
2818415 6008734 252701
3524827 8742344 316712
1254312 5450007 286264
3084050 5851954 102857
4391719 9803896 117442
2477022 6935316 33712
1823149 7041925 208623
4368105 6333521 63536
2080322 9480630 287848
476358 9036836 98495
4554363 9105116 289073
2968006 8007719 392857
4871736 6163118 110214
613575 7599143 253037
4925386 6656875 207947
1775600 5399327 117773
1969464 7417316 14962
224289 8244183 58087
2693938 7603914 20776
4090829 6284297 358550
4882181 7465702 93932
3162419 6994165 104242
1776660 9306757 98026
2250948 9177759 459472
4083688 7363722 262331
515681 5704598 335074
1594143 7660461 293980
3845495 5876397 363699
1908680 7253648 459389
2789675 7960355 482782
4875767 6346116 280492
3363812 7375507 323586
1115422 9978263 204453
3027284 8528935 379292
3135545 9316811 452957
3970335 5245613 370972
1325901 7025990 396326
663220 6403976 121532
850209 5450161 472322
385399 8695066 472612
82199 7504833 243509
152995 9268960 288746
925013 9598882 478350
4264875 5523042 22166
2899250 6654796 6578
4322122 5759085 391004
1638146 8749105 20272
2168911 6835833 478513
2464320 8746952 271119
4551567 6763372 379149
3698797 6445484 221732
3783432 9620072 217764
3632230 5580688 184626
2309221 8844108 407134
3405508 8453452 303016
2664212 9933279 61243
313594 6434717 147413
4340039 8314607 116155
3237021 5831749 312368
4086047 9916735 211721
153516 5245590 374741
4368147 5863302 406805
592256 6929854 377737
999922 8963037 466491
4953767 8318697 398093
389502 8882372 103583
778466 8228778 327335
3131621 6319676 250323
875358 6038865 245705
1533151 9638599 107505
4339480 8628318 227490
66749 9792053 57476
1775154 7858110 333862
4973040 7053065 178903
3418274 6590462 148569
1803868 6952361 138278
2158868 6063833 227
1376065 5671195 162873
3419866 7225434 110636
2263424 6558282 88973
1295426 9591084 172683
2001871 6506887 321699
3000895 9497246 370876
394410 8512590 427068
1959140 7175461 104004
2437820 8588488 335496
3185706 6400430 399754
415847 9901881 63327
4620619 7754306 196928
2792800 9676335 300680
90709 8809175 337907
3411508 8570702 64093
4795214 5467919 107334
1262596 9242907 112664
1918027 9895722 491916
3877443 9076250 281556
715465 9559058 174660
888055 6778909 384393
4605368 5358124 492871
715298 5178662 76966
3495675 9629072 359995
1917953 5485743 128170
2832726 5806832 303529
156292 9933183 462328
2090948 7343857 282926
1131389 8978456 68176
4715192 9072781 442350
1190816 6041067 307428
750208 8986759 462385
4786699 6741734 491772
4324863 7725748 357155
2224381 7218995 216396
552908 7002101 7154
3284075 7080975 311971
3700511 6189025 238246
4440728 5141327 292566
2564379 8378163 207503
3476461 8867308 147313
719253 5726459 81669
4338469 6476986 423967
3285244 8444278 169564
3771021 8736092 130416
1796272 9894078 156793
3418745 8596956 414895
1313459 6953268 402295
2406371 6915386 145166
366785 5778013 212167
4910225 9604694 123219
482041 8664206 276819
921536 6759491 273602
2063209 8258925 324666
4321908 9530677 453426
1696026 9894223 415589
1591133 6357519 392983
976965 5005891 10311
1614267 8009854 473375
3340787 7604121 279734
3526516 9830130 51018
4731968 9139176 125093
4090234 5752923 256276
2618253 6119656 265101
3665978 6429239 206582
2561534 5432682 340752
3705727 7171432 43848
4994977 8316470 493920
3758188 8271682 407352
1997224 6851099 470594
3563263 8336868 40479
946801 8145350 238496
2522637 9625223 137813
4550177 5154143 275605
4434137 6730047 282503
3661192 6456965 435238
92602 8600947 189312
4533196 9333606 472385
1434363 6278468 108394
165911 5885715 457030
1684636 8159774 94688
4095 6809730 65045
2585769 8851051 217062
173492 9325160 409431
2824964 6407602 444758
3791633 6861530 352061
4155428 9920007 453730
1038711 5547034 105411
4980957 9172196 433541
1592708 9472388 367512
1463983 5762255 263811
4410811 9665923 195161
3910083 5012565 314003
1834455 9998201 270939
4907702 8872787 248837
3714039 9320583 240405
3161464 8533773 120052
1538226 8442345 215631
1419152 6867589 430444
3949312 8374716 69585
2790335 7921499 24366
4188662 9810103 451851
1095788 5828457 51170
1955748 7443371 220787
2671945 8601237 484671
2411241 8995719 224438
195792 5138786 81986
553708 9354300 83802
4185300 7915248 318308
2102788 7413308 158532
2186948 8971491 490874
1055734 5211766 132174
4027803 8582339 318844
4080289 8864454 73428
1554646 9663671 488248
1282677 7480556 458795
3655216 8424870 24401
4971020 5131359 99243
2094400 7305014 95811
2929038 7042684 322162
4315375 5242985 391583
160813 7920095 446648
2930732 9254220 177618
4815385 6265658 76468
4009683 6632379 80181
3044951 6382125 143244
4063328 7660271 102049
1610938 9736690 157412
460019 5151585 310753
3929272 8115933 213148
81021 7394598 373766
1971234 5650258 253216
411663 8271384 416913
3238374 8718305 107741
2306346 6894841 103275
3935278 8230702 304548
4447051 5826001 126844
9226 7469855 45252
3177494 5067137 176510
365411 5225318 189875
4586438 9674063 463911
3057844 7231658 88192
280674 6031956 1613
2196939 8092139 56715
3666957 8033702 424397
3087875 6916116 104990
657510 8957333 284501
1064696 5938983 215916
3427952 7406490 297151
4297207 5425961 148864
4881107 7989022 436896
1259611 7188738 249197
4534397 7778267 309009
4332317 7267966 433698
4026686 7651283 347446
177416 8986506 270915
2475027 6159585 75581
3300446 8520496 60754
3321221 9899981 133716
2091986 5706099 450006
2103702 5816561 211305
2333868 8388721 162546
976402 6850407 301921
1346053 5777540 383306
4749577 7497076 54348
4305106 6922949 125717
3128197 6943089 368231
3570829 8622107 356687
3616513 5677687 346775
111264 9455250 148378
1998454 6307831 364134
2057385 6546063 457902
962045 6911243 150743
1104952 7760797 421841
3719713 6554100 120620
1017172 5592828 362905
3398364 9957378 317215
4357504 5889113 31632
3692259 5057441 92681
1236858 7217380 126294
4533167 7637580 373835
277036 8215714 230009
1315113 6829852 175430
4474842 8915192 31279
2099701 5188469 4871
3992303 5780816 354644
1665969 6190463 275997
2816517 9049087 476929
629228 7157956 59447
1079878 9332782 32555
3109552 5056583 400075
3212538 7995479 409063
3025612 6104057 40888
2086250 5853202 320911
2170330 7573861 53705
1263781 9007071 281419
3701272 5264618 484140
852824 5295630 220782
3671369 6142316 66210
4481403 5891069 358289
3785174 7611972 248540
2765254 6553677 62902
3293758 7691104 94151
1445307 8011139 211271
1158309 9003938 228670
2652076 8026497 88082
2519627 5408415 447685
2850444 7324597 112916
1213365 8362516 340062
2195957 5378945 392614
1565082 6445943 474432
1610934 5820975 46436
3620249 5488758 358818
3750089 5975415 30194
2389199 5378636 314560
2124551 8684842 430550
1443265 5901811 248462
3299520 5681215 467368
4986320 7279852 262961
3833995 5137446 448299
1159501 6793630 447470
1952941 8680020 387251
2762349 6694777 357265
4991408 8794985 489844
3531139 9504372 356571
24397 9554411 352270
2970403 5585467 141514
2309948 7616622 100702
2336681 8595960 495773
2632339 7590570 378341
256643 6017671 270567
717365 5856097 236484
4491061 6824307 350487
755929 6909947 377746
2778744 8174296 214411
2539732 9791311 278009
1641641 7400783 276617
275949 6639747 338527
3696622 6124529 491012
1001902 8870820 306233
2937348 8711703 27479
1980925 9763191 221468
2148951 8297971 60838
2301416 6059412 232564
4694364 7898070 13072
214889 5053973 129830
2913295 8493514 184987
1968605 9580132 480606
2731471 8692370 437617
3443564 6294583 447292
4200936 5855350 262752
2789335 7263817 478749
3325536 7216620 318896
3432494 8253772 399845
2849993 7422337 214323
4028270 5336311 83927
2835622 8889438 448925
638961 6592105 132266
4454839 5719044 153296
439497 9471357 182848
1994663 9270104 220171
4080159 9033988 93876
2033918 7615582 291939
4036471 9843667 487046
1426700 5775616 155573
3711348 7955785 138284
4678321 7997563 65951
2156017 7377214 302305
232694 6803021 117444
3073109 7414861 331349
3663893 7040709 152564
2220791 7261843 209603
4619638 8916615 415797
2248757 9764775 409326
1493285 5452914 135335
702541 9402528 32255
2165985 5255910 432800
963048 6551462 29905
3597175 8104625 225603
3988889 5226545 478625
2268234 9745933 491356
4861454 8952933 43146
3689605 5220026 218613
1226340 7963063 154002
714833 8335018 310951
134053 5975043 363805
3078606 7777913 226429
1396721 9915275 373614
3260001 8732787 225642
631668 7500535 267393
1833635 8964062 469959
3586885 9383512 34509
2592255 6599751 79425
2072600 9958728 318586
3704774 7531149 227201
3699965 5780319 166002
4846790 8297448 352545
4863285 8976034 456638
1269941 8353190 444719
3986637 6685596 354491
2000055 8449177 169370
3159682 7888268 338159
4456781 6912760 423010
3708964 8106895 104205
997877 9346849 486597
3386169 6725694 330136
420946 8110798 373743
2074017 7405022 242884
79062 7990755 158399
1501538 7854168 481999
2137491 5584798 25379
2534072 8098142 155484
4180893 7591008 411260
2622723 7529909 124591
587315 9787794 262107
3921582 6682489 335175
3326413 7880340 200928
2853359 6194022 62712
2180042 5060157 277786
2751030 9602930 216276
786656 9210160 119310
3272176 9853314 341677
2809779 8146021 187227
